32,As,MI,5.75,Wood,23,3.50,4.15,80.50,95.45,132.25,308.20
33,Ashton,PA,6.75,Carpet,48,3.50,4.15,168.00,199.20,324.00,691.20
35,Ashwin,OH,6.25,Wood,44,3.50,4.15,154.00,182.60,275.00,611.60
0,Ashton,MI,5.75,Carpet,32,3.50,4.15,112.00,132.80,184.00,428.80
0,a,OH,6.25,Wood,33,3.50,4.15,115.50,136.95,206.25,458.70
0,A,PA,6.75,Wood,33,3.50,4.15,115.50,136.95,222.75,475.20
0,As,MI,5.75,Wood,23,3.50,4.15,80.50,95.45,132.25,308.20
0,Ash,PA,6.75,Carpet,48,3.50,4.15,168.00,199.20,324.00,691.20
0,Ashton,PA,6.75,Carpet,48,3.50,4.15,168.00,199.20,324.00,691.20
0,Ashley,MI,5.75,Wood,55,3.50,4.15,192.50,228.25,316.25,737.00
36,Ashwin,MI,5.75,Carpet,34,3.50,4.15,119.00,141.10,195.50,455.60
28,As,MI,5.75,Wood,23,3.50,4.15,80.50,95.45,132.25,308.20
